ZL1BYP	Whangaparaoa   36.6344S	174.7422E
AOS:		
Sample	Dif Phase	TEC
1	2.825024	0.427128
2	6.214585	0.9396107
3	0.05004454	0.007566455
4	5.736398	0.8673114
5	6.010846	0.9088065
6	5.990624	0.9057491
7	3.561071	0.5384141
8	3.513511	0.5312234
9	4.088688	0.618187
10	5.855043	0.8852499
11	4.047747	0.6119968
12	0.6665142	0.1007732
13	0.5667291	0.08568628
14	6.267556	0.9476196
15	5.592739	0.845591
16	6.494279	0.9818988
17	0.07346058	0.01110683
18	5.207636	0.7873656
19	0.7604578	0.114977
20	5.608986	0.8480476
21	6.124946	0.9260578
22	5.742773	0.8682753
23	0.1148765	0.01736869
24	6.249865	0.9449448
25	7.253926	1.096753
26	3.605233	0.5450912
27	5.764046	0.8714917
28	5.860559	0.8860838
29	5.329358	0.8057693
30	0.2782996	0.04207735
31	2.04452	0.3091201
32	2.563327	0.3875607
33	6.090678	0.9208767
34	6.103332	0.9227899
35	5.721962	0.8651289
36	0.4455771	0.06736878
37	0.2631584	0.03978809
38	0.785398	0.1187478
39	5.853424	0.8850052
40	2.984984	0.451313
41	1.177252	0.1779939
42	5.989597	0.9055937
43	3.314846	0.5011862
44	5.607069	0.8477576
45	3.828546	0.5788548
46	0.3406162	0.05149928
47	0.05588579	0.008449621
48	5.872475	0.8878856
49	3.758785	0.5683074
50	5.954393	0.9002712
51	1.971497	0.2980794
52	2.364948	0.357567
53	0.1599131	0.02417797
54	0.02127314	0.00321638
55	5.669978	0.8572692
56	2.933128	0.4434727
57	4.055244	0.6131303
58	3.327823	0.5031483
59	0.4849272	0.07331829
60	5.766498	0.8718624
61	3.511645	0.5309412
62	5.142152	0.7774647
63	3.295137	0.4982064
64	5.723059	0.8652946
65	2.498085	0.3776965
66	2.670904	0.4038258
67	5.863708	0.8865601
68	1.926432	0.2912658
69	3.224735	0.487562
70	2.490516	0.3765521
71	4.437585	0.6709381
72	0.6112607	0.09241921
73	5.306682	0.8023408
74	2.675663	0.4045454
75	0.266252	0.04025583
76	1.1496	0.1738132
77	0.2220819	0.03357755
78	3.017237	0.4561895
79	0.06947041	0.01050354
80	2.009655	0.3038487
81	4.446144	0.6722323
82	0.3612037	0.05461198
83	0.4280894	0.06472474
84	3.062296	0.4630022
85	3.856313	0.5830531
86	5.222599	0.7896279
